Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend,30 Day STD,Middle_band,Upper_band,Lower_band
2017-09-29,RBLBANK,EQ,503.45,503.5,510.0,503.5,508.0,506.95,506.5,1130974,572837254.05,13319,698012,61.72,9,2017,526.8451564243401,0.6952030986195235,Slight positive,13.121822673057329,527.0725,553.3161453461147,500.82885465388534
2017-10-03,RBLBANK,EQ,506.95,510.1,513.3,509.0,510.9,510.05,510.04,966414,492910980.2,14902,723249,74.84,10,2017,526.7414573898203,0.6115001479435778,Slight positive,13.540858977262458,525.8725000000001,552.954217954525,498.79078204547517
2017-10-04,RBLBANK,EQ,510.05,512.0,513.5,509.0,509.0,509.9,510.81,922644,471296594.55,9766,634919,68.82,10,2017,526.6427638421582,-0.029408881482217982,Slight or no change,13.706423772508405,524.5,551.9128475450168,497.0871524549832
2017-10-05,RBLBANK,EQ,509.9,512.85,516.05,510.65,512.5,512.65,513.21,1056380,542143801.35,13010,686997,65.03,10,2017,526.5495040586815,0.5393214355756015,Slight positive,13.466434637353359,523.1524999999999,550.0853692747066,496.2196307252932
2017-10-06,RBLBANK,EQ,512.65,513.0,517.8,512.55,517.0,516.0,515.37,1118205,576286297.85,6802,866534,77.49,10,2017,526.4755995310736,0.6534672778699013,Slight positive,13.341771562317279,522.295,548.9785431246345,495.6114568753654
2017-10-09,RBLBANK,EQ,516.0,517.0,520.25,514.0,519.0,518.15,518.07,668469,346312074.6,6711,335635,50.21,10,2017,526.4408779601246,0.4166666666666652,Slight or no change,12.907020478467713,521.3525,547.1665409569354,495.53845904306456
2017-10-10,RBLBANK,EQ,518.15,519.85,520.5,515.15,516.6,516.55,518.6,707404,366858394.85,8959,461283,65.21,10,2017,526.3974176873461,-0.3087908906687309,Slight or no change,12.486996130712454,520.3924999999999,545.3664922614248,495.41850773857504
2017-10-11,RBLBANK,EQ,516.55,516.65,521.1,508.0,508.4,509.0,516.53,1451859,749927105.4,12425,885763,61.01,10,2017,526.2419284359581,-1.4616203658890603,Negative,11.841235655205619,518.8475,542.5299713104112,495.1650286895887
2017-10-12,RBLBANK,EQ,509.0,511.9,519.0,508.5,516.3,516.55,514.12,1046834,538199271.1,9026,601907,57.5,10,2017,526.1798716243561,1.4833005893909457,Positive,11.296337319773764,517.9749999999999,540.5676746395475,495.3823253604524
2017-10-13,RBLBANK,EQ,516.55,517.3,524.85,515.1,518.25,517.5,520.25,1119886,582619416.35,9976,618887,55.26,10,2017,526.1208210824783,0.18391249637015328,Slight or no change,10.824692775511888,517.2649999999999,538.9143855510237,495.6156144489761
2017-10-16,RBLBANK,EQ,517.5,520.95,523.0,518.3,521.5,521.2,521.09,915908,477268021.75,9014,608866,66.48,10,2017,526.0935930367235,0.7149758454106259,Slight positive,10.307987449699722,516.7249999999999,537.3409748993994,496.1090251006005
2017-10-17,RBLBANK,EQ,521.2,524.4,524.4,519.75,522.5,521.85,522.01,1367033,713610559.3,10894,1121040,82.01,10,2017,526.0588339914295,0.12471220260936723,Slight or no change,9.18640156340992,515.9449999999999,534.3178031268197,497.5721968731801
2017-10-18,RBLBANK,EQ,521.85,521.25,526.75,516.0,523.0,522.25,522.21,1485776,775884144.15,8821,1109346,74.66,10,2017,526.0252253212375,0.07665037846122935,Slight or no change,8.169237466831525,515.3024999999999,531.640974933663,498.96402506633683
2017-10-19,RBLBANK,EQ,522.25,526.0,526.5,517.1,520.0,521.0,523.03,354170,185243169.05,5214,224795,63.47,10,2017,526.0146775493292,-0.2393489707994245,Slight or no change,7.4476347358007144,514.8099999999998,529.7052694716012,499.9147305283984
2017-10-23,RBLBANK,EQ,521.0,523.65,531.9,521.65,526.0,527.55,526.17,1429682,752259696.0,15910,841585,58.87,10,2017,526.0275769113066,1.2571976967370446,Positive,6.791625551485421,514.5274999999998,528.1107511029707,500.94424889702896
2017-10-24,RBLBANK,EQ,527.55,529.0,538.5,525.5,534.5,536.15,532.71,1815137,966941495.95,15875,1249678,68.85,10,2017,526.1344122740409,1.6301772343853658,Positive,8.331937207611984,515.4774999999997,532.1413744152237,498.81362558477576
2017-10-25,RBLBANK,EQ,536.15,541.9,552.0,516.65,524.1,524.4,534.73,2290747,1224927232.6,24311,828214,36.15,10,2017,526.111613890144,-2.1915508719574706,Negative,8.509547269793593,516.1149999999998,533.134094539587,499.0959054604126
2017-10-26,RBLBANK,EQ,524.4,531.8,544.45,521.85,530.6,530.55,533.66,4143408,2211189140.6,41484,1362941,32.89,10,2017,526.2146887100333,1.1727688787185329,Positive,8.971305133005004,517.1299999999998,535.0726102660097,499.1873897339898
2017-10-27,RBLBANK,EQ,530.55,535.0,535.5,520.5,520.95,524.35,530.26,1645562,872567587.2,39009,1090620,66.28,10,2017,526.1976473933296,-1.1685986240693502,Negative,8.241175104635877,518.3024999999998,534.7848502092716,501.820149790728
2017-10-30,RBLBANK,EQ,524.35,524.8,532.5,521.2,525.1,525.05,526.4,1529946,805360984.5,40239,874738,57.17,10,2017,526.1879781479522,0.13349861733573665,Slight or no change,7.581231586518562,519.3824999999997,534.5449631730369,504.2200368269626
2017-10-31,RBLBANK,EQ,525.05,525.95,528.55,522.8,525.1,525.4,525.16,669354,351518592.3,11557,374951,56.02,10,2017,526.1850842704496,0.06666031806494832,Slight or no change,7.095771535514316,520.3049999999996,534.4965430710282,506.113456928971
2017-11-01,RBLBANK,EQ,525.4,527.0,530.2,525.1,526.1,526.1,528.06,686031,362265003.45,13981,447137,65.18,11,2017,526.1847652110853,0.13323182337268147,Slight or no change,6.775289370398542,521.1074999999997,534.6580787407968,507.5569212592026
2017-11-02,RBLBANK,EQ,526.1,526.1,528.15,522.55,523.9,523.15,525.33,519923,273129750.4,11140,340398,65.47,11,2017,526.1761649802884,-0.5607298992587051,Slight negative,6.249092565704239,521.7699999999998,534.2681851314082,509.27181486859126
