Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
2017-05-15,RBLBANK,EQ,2017-05-15,556.55,557.5,564.9,551.1,564.25,563.9,560.31,888219,497674867.95,17580,387382,43.61,5,2017,563.9,0.0,Slight or no change
2017-05-16,RBLBANK,EQ,2017-05-16,563.9,564.8,567.7,559.0,561.6,562.6,562.26,495571,278640917.4,8172,203735,41.11,5,2017,563.4344363667898,-0.23053732931369586,Slight or no change
2017-05-17,RBLBANK,EQ,2017-05-17,562.6,563.0,569.9,558.0,564.7,564.25,563.94,831318,468817558.0,13860,253851,30.54,5,2017,563.7405129682164,0.293281194454309,Slight or no change
2017-05-18,RBLBANK,EQ,2017-05-18,564.25,559.8,563.0,551.0,553.5,552.15,555.33,1050920,583612037.35,27124,615645,58.58,5,2017,560.0109975174738,-2.1444395214887058,Negative
2017-05-19,RBLBANK,EQ,2017-05-19,552.15,560.95,567.0,551.4,553.8,555.45,558.44,1292735,721910060.6,39632,569809,44.08,5,2017,558.7176288721304,0.5976636783482814,Slight positive
2017-05-22,RBLBANK,EQ,2017-05-22,555.45,557.5,559.95,542.6,545.5,544.85,548.78,676006,370977954.8,13070,285523,42.24,5,2017,556.9267952511372,-1.9083625888918987,Negative
2017-05-23,RBLBANK,EQ,2017-05-23,544.85,546.0,547.4,502.2,522.0,524.5,525.03,1588845,834193700.8,31571,531438,33.45,5,2017,549.3763752682962,-3.7349729283289057,Among top losers
2017-05-24,RBLBANK,EQ,2017-05-24,524.5,524.95,539.7,518.2,526.3,524.35,529.33,1343057,710921387.3,25418,486475,36.22,5,2017,545.260640902517,-0.02859866539560718,Slight or no change
2017-05-25,RBLBANK,EQ,2017-05-25,524.35,527.8,549.45,525.75,548.2,545.6,537.94,1052847,566367161.5,17723,446922,42.45,5,2017,545.299394903291,4.052636597692372,Among top gainers
2017-05-26,RBLBANK,EQ,2017-05-26,545.6,549.4,552.5,505.3,515.6,516.55,521.74,7280565,3798585459.8,92398,3695651,50.76,5,2017,532.6138927573879,-5.324413489736079,Among top losers
2017-05-29,RBLBANK,EQ,2017-05-29,516.55,519.0,527.9,504.0,507.05,508.15,514.44,2977390,1531691905.15,42525,1197065,40.21,5,2017,528.8742623824969,-1.6261736521149928,Negative
2017-05-30,RBLBANK,EQ,2017-05-30,508.15,505.4,514.0,495.85,511.0,509.5,507.62,1418146,719881872.8,21947,333261,23.5,5,2017,527.5593679684722,0.2656695857522484,Slight or no change
2017-05-31,RBLBANK,EQ,2017-05-31,509.5,511.0,537.9,509.9,536.0,527.7,523.48,3068601,1606363621.05,44628,1326531,43.23,5,2017,527.5773757981691,3.5721295387635132,Among top gainers
2017-06-01,RBLBANK,EQ,2017-06-01,527.7,533.0,554.25,531.0,549.6,550.1,543.29,3657981,1987343545.05,54169,1189994,32.53,6,2017,530.560024841974,4.244836081106684,Among top gainers
2017-06-02,RBLBANK,EQ,2017-06-02,550.1,552.0,558.0,546.05,550.0,550.85,552.57,1634243,903033424.7,26334,526126,32.19,6,2017,531.6934076232915,0.13633884748227576,Slight or no change
